Performance Measure,Median Value
Trips per Vehicle Revenue Mile,0.1
Trips per Vehicle Revenue Hour,1.82
Operating Expense per Trip,$46.72 
Operating Expense per Vehicle Revenue Mile,$4.72 
Operating Expense per Vehicle Revenue Hour,$104.95 
Farebox Recovery Ratio,0
