Percentile,Fixed-Route,Demand-response,Total
10th ,3676,3214,4427
20th ,8236,6175,8954
30th ,14239,10121,13874
40th ,24476,14366,21652
50th (Median),36376,20199,30318
60th ,55054,27174,44216
70th ,89932,39166,65615
80th ,167386,57066,105905
90th ,320598,96681,205238
