Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,11.6,4.1,8.07,12.89,5.01,6.89,6.49,16.27,7.37,7.94
Demand-response,1.3,1.92,2.07,1.57,2.64,1.78,2.34,2.65,2.87,1.98
Total,5.39,3.73,4.54,2.71,3.22,2.21,2.71,9.14,5.85,5.51
