Vehicle Mode,2015,2016,2017,2018,2019,2020,Change 2019-2020
Fixed-route,5.8,6.1,6.2,6.3,6.3,5.5,-12.90%
Demand-response,20.1,19.5,19.9,20.4,19.5,16.9,-13.50%
Commuter bus,0.6,0.6,0.7,0.6,0.6,0.5,-12.20%
Vanpool,0.2,0.2,0.2,0.2,0.2,0.1,-15.20%
Demand-response taxi,0.6,0.7,0.7,0.2,0.1,0,-100.00%
Ferryboat,0,0,0,0,0.1,0,-14.40%
Bus rapid transit,0.1,0.1,0.1,0.1,0.1,0,-34.30%
Aerial tramway,0.3,0.3,0.3,0.4,0.3,0.3,-17.20%
Total,27.7,27.5,27.9,28.1,27.1,23.4,-13.90%
