Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,"4,043,604","2,015,257","4,834,359","7,034,642","4,477,495","1,312,340","1,359,598","12,441,491","5,290,252","5,747,325"
Demand-response,"784,245","193,435","1,792,277","7,717,389","10,365,170","4,413,638","5,089,221","2,194,893","1,335,225","988,564"
Commuter bus,"259,791","37,212","70,578",45142,"1,958","217,809",0,"1,104,664","989,879","498,778"
Vanpool,0,0,"4,439","63,503",0,"237,756","18,275","22,055",0,"224,058"
Ferryboat,"409,521",0,0,"16,367","755,423",0,0,0,"163,282","192,356"
Demand-response taxi,0,0,0,0,0,0,0,0,0,0
Bus rapit transit,0,0,0,0,0,0,0,"473,625",0,0
Aerial tramway,0,0,0,0,0,0,0,"2,412,631",0,0
Total,"5,497,161","2,245,904","6,701,653","14,877,043","15,600,046","6,181,543","6,467,094","18,649,359","7,778,638","7,651,081"
