Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,"348,440","491,456","599,201","545,793","893,862","190,591","209,585","764,493","717,952","724,051"
Demand-response,"603,633","100,496","865,944","4,920,633","3,926,137","2,483,942","2,175,438","827,321","464,901","498,321"
Commuter bus,"54,421","9,413","10,308",10045,"2,739","65,651",0,"105,866","143,631","102,333"
Vanpool,0,0,579,"13,432",0,"59,740","3,663","7,547",0,"56,276"
Ferryboat,"14,302",0,0,768,"18,103",0,0,0,"2,566","7,746"
Demand-response taxi,0,0,0,0,0,0,0,0,0,0
Bus rapit transit,0,0,0,0,0,0,0,"48,114",0,0
Aerial tramway,0,0,0,0,0,0,0,"286,198",0,0
Total,"1,020,796","601,365","1,476,032","5,490,671","4,840,841","2,799,924","2,388,686","2,039,539","1,329,050","1,388,727"
