Vehicle Mode,2015,2016,2017,2018,2019,2020
Fixed-route,"7,361","7,027","7,995","8,039","7,423","4,455"
Demand-response,"12,104","11,205","11,128","11,415","10,662","7,370"
Vanpool,234,223,125,84,238,99
Commuter bus,"1,523","1,248","1,215","1,282","1,284",756
Demand-response taxi,40,11,0,0,0,0
Ferryboat,60,172,74,82,79,57
Total,"21,323","19,885","20,537","20,901","19,687","12,737"
