Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,$88.48 ,$82.49 ,$69.99 ,$56.58 ,$69.25 ,$77.83 ,$62.25 ,$110.99 ,$106.90 ,$119.15 
Demand-response,$53.49 ,$78.51 ,$59.70 ,$44.57 ,$58.43 ,$47.87 ,$47.81 ,$62.87 ,$88.46 ,$77.98 
Total,$75.44 ,$83.32 ,$64.31 ,$45.83 ,$60.87 ,$50.19 ,$49.07 ,$84.59 ,$104.93 ,$101.71 
