Vehicle Type,2015,2016,2017,2018,2019
Bus,30.9,30.7,30.2,31,32.5
Cutaway,23.9,23.4,23.5,23.6,24.1
Van,19.4,18.6,18.3,18,19.2
Minivan,16.5,15.6,15.7,16.3,16.5
Automobile,15.6,7.8,12,13.8,15.9
School bus,32.7,35.9,36.6,37.4,36.7
Over-the-road bus,43.4,49.4,41.5,40,44.1
Sport utility vehicle,15.9,15.9,15.7,15.9,15.9
Total,23,21.8,22.2,22.3,23
