Vehicle Mode,2015,2016,2017,2018,2019,Change 2018-2019
Fixed-route,11.2,10.9,10.9,10.6,10.7,1.00%
Demand-response,2.6,2.5,2.4,2.3,2.3,1.00%
Commuter bus,9.7,8.8,8.6,8.5,8.5,-0.40%
Van pool,5.3,4.9,4.8,4.7,4.6,-2.50%
Demand-response taxi,3,2.8,2.7,2.2,2.1,-8.10%
Total,4.8,4.7,4.7,4.6,4.6,0.20%
