Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"18,984","4,757","11,157","1,215",0.43,3.91,$14.12,$6.02,$55.28
11-20,"18,984","38,082","8,282","28,186","2,510",0.29,3.30,$16.31,$4.79,$53.82
21-30,"38,082","61,944","10,865","49,943","3,776",0.22,2.88,$18.40,$4.00,$52.94
31-40,"61,944","88,131","13,705","74,581","5,511",0.18,2.49,$19.84,$3.65,$49.33
41-50,"88,131","128,535","21,860","107,080","7,622",0.20,2.87,$16.23,$3.31,$46.55
51-60,"128,535","185,980","28,780","156,824","10,493",0.18,2.74,$17.19,$3.16,$47.16
61-70,"185,980","265,432","33,421","223,232","13,590",0.15,2.46,$19.91,$2.98,$48.96
71-80,"265,432","387,940","48,021","322,836","19,637",0.15,2.45,$21.73,$3.23,$53.14
81-90,"387,940","667,937","75,656","506,033","30,364",0.15,2.49,$18.79,$2.81,$46.82
>90,"667,937","14,653,297","163,779","1,550,533","80,016",0.11,2.05,$20.34,$2.15,$41.62
Total,0,"14,653,297","40,959","303,622","17,501",0.13,2.34,$19.52,$2.63,$45.68
