Mode,2016,2017,2018,2019,Change 2018-2019
Total,$2.71,$2.82,$2.90,$3.08,6.3%
Fixed-route,$3.88,$4.04,$4.14,$4.35,5.2%
Demand-response,$2.34,$2.43,$2.51,$2.63,4.9%
