Vehicle Mode,2015,2016,2017,2018,2019,2020
Fixed-route,0.2,0.2,0.21,0.19,0.18,0.15
Demand-response,0.11,0.09,0.1,0.1,0.09,0.08
Total,0.17,0.17,0.18,0.17,0.17,0.14
