Vehicle Mode,2015,2016,2017,2018,2019
Fixed-route,4.3,4.5,4.7,4.1,4.0
Demand-response,2.3,2.1,2.1,2.1,2.0
Total,3.8,3.8,3.9,3.7,3.6
