Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,5897119,11776835,10689209,8924292,17073597,4037473,3541153,14461091,16823920,16404431
Demand-response,16639367,1912572,10727532,110140621,76186850,49489780,42455526,14806323,6210157,9665704
Commuter bus,1543167,502263,390593,0,42557,1928581,0,3420193,4436349,3262729
Vanpool,0,0,35999,706597,0,3248711,132398,293989,0,2636721
Ferryboat,151706,0,255,6804,29864,0,0,0,51206,57747
Demand-response taxi,88139,0,0,91896,730470,0,2817,63010,389169,32079
Bus rapit transit,0,0,0,0,0,0,0,1970173,0,0
Aerial tramway,0,0,0,0,0,0,0,3865964,0,0
Total,24319498,14191670,21843588,119870210,94063338,58704545,46131894,38880743,27910801,32059411
