Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,$7.62 ,$20.12 ,$8.68 ,$4.39 ,$13.83 ,$11.30 ,$9.60 ,$6.82 ,$14.51 ,$15.01 
Demand-response,$41.17 ,$40.79 ,$28.84 ,$28.42 ,$22.13 ,$26.94 ,$20.44 ,$23.70 ,$30.80 ,$39.31 
Total,$14.01 ,$22.31 ,$14.16 ,$16.91 ,$18.89 ,$22.73 ,$18.12 ,$9.25 ,$17.93 ,$18.46 
