Mode,2016,2017,2018,2019,2020,Change 2019-2020
Total,$2.71 ,$2.82 ,$2.90 ,$3.08 ,$3.71 ,20.30%
Fixed-route,$3.88 ,$4.04 ,$4.14 ,$4.35 ,$5.09 ,16.80%
Demand-response,$2.34 ,$2.43 ,$2.51 ,$2.63 ,$3.21 ,21.80%
