Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,5132765,3275035,6315019,9639430,6966532,2220352,1691981,16847645,6462112,9125927
Demand-response,1044677,330457,1397539,10443807,14116467,5840602,6189844,3359671,1565163,1340460
Commuter bus,310282,75537,102638,0,4694,330275,0,2011765,1293230,730451
Vanpool,0,0,7656,73796,0,235731,17319,28091,0,405346
Ferryboat,494272,0,3702,11592,857422,0,0,0,506366,201709
Demand-response taxi,13579,0,0,6253,131241,0,155,17459,108587,6460
Bus rapit transit,0,0,0,0,0,0,0,1034512,0,0
Aerial tramway,0,0,0,0,0,0,0,3151603,0,0
Total,6995575,3681029,7826554,20174878,22076356,8626960,7899299,26450746,9935458,11810353
