Mode,2016,2017,2018,2019,Change 2018-2019
Total,$47.97,$50.00,$51.17,$54.30,6.1%
Fixed-route,$67.62,$71.02,$72.25,$75.79,4.9%
Demand-response,$41.24,$42.76,$43.67,$45.68,4.6%
