Mode,2016,2017,2018,2019,2020,Change 2019-2020
Total,$47.97 ,$50.00 ,$51.17 ,$54.30 ,$63.28 ,16.50%
Fixed-route,$67.62 ,$71.02 ,$72.25 ,$75.79 ,$87.84 ,15.90%
Demand-response,$41.24 ,$42.76 ,$43.67 ,$45.68 ,$53.09 ,16.20%
