Percentile,OE Per Trip,OE Per VRM,OE Per VRH,UPT Per VRM,UPT Per VRH,Farebox Recovery Ratio
10th,$12.36,$1.89,$29.91,0.05,0.99,0
25th,$17.96,$2.52,$38.54,0.08,1.42,0.02
50th,$26.64,$3.66,$54.41,0.14,2.06,0.05
75th,$40.01,$5.46,$77.61,0.24,2.99,0.1
90th,$64.18,$8.47,$113.89,0.4,4.31,0.22
