Percentile,OE Per Trip,OE Per VRM,OE Per VRH,UPT Per VRM,UPT Per VRH,Farebox Recovery Ratio
10th,$5.76 ,$2.23 ,$35.03 ,0.07,1.32,0
25th,$9.28 ,$3.15 ,$50.95 ,0.12,2.17,0.01
50th,$17.50 ,$4.50 ,$73.95 ,0.24,3.89,0.03
75th,$31.33 ,$6.30 ,$103.40 ,0.5,7.62,0.07
90th,$61.05 ,$9.00 ,$153.73 ,0.92,12.57,0.12
