Percentile,Fixed-Route,Demand-response,Total
10th ,"1,521","1,135","1,491"
20th ,"2,360","2,204","2,738"
30th ,"3,441","3,441","4,309"
40th ,"5,130","5,116","6,542"
50th (Median),"7,082","7,142","9,363"
60th ,"9,613","9,592","12,845"
70th ,"13,403","13,459","17,833"
80th ,"18,318","19,879","26,040"
90th ,"28,587","33,504","39,782"
