Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,"5,262,305","9,624,774","10,173,735","7,301,365","15,307,327","2,835,301","3,108,584","11,714,557","15,099,840","14,307,204"
Demand-response,"14,418,231","1,421,224","15,181,689","88,640,146","60,535,469","41,693,787","33,014,298","10,738,232","6,089,367","7,515,136"
Commuter bus,"1,379,006","395,479","345,675",425931,"53,308","1,643,845",0,"2,913,622","3,991,187","2,863,672"
Vanpool,0,0,"23,367","662,129",0,"3,332,246","159,661","266,610",0,"1,579,240"
Ferryboat,"143,759",0,0,"13,698","26,548",0,0,0,"27,313","54,786"
Demand-response taxi,0,0,0,0,0,0,0,0,0,0
Bus rapit transit,0,0,0,0,0,0,0,"1,528,227",0,0
Aerial tramway,0,0,0,0,0,0,0,"3,094,054",0,0
Total,"21,203,301","11,441,477","25,724,466","97,043,269","75,922,652","49,505,179","36,282,543","30,255,302","25,207,707","26,320,038"
