Performance Measure,Fixed-Route,Demand-Response,Total
Trips Per Vehicle,"12,507","2,449","5,294"
Vehicle Revenue Miles Per Vehicle,"20,260","18,150","20,167"
Vehicle Revenue Hours Per Vehicle,"1,164","1,046","1,145"
