Vehicle Type,2015,2016,2017,2018,2019,2020
Bus,7.8,8.2,8.5,8.4,7.6,8.4
Cutaway,6.4,6.5,6.4,6.6,5.7,6.5
Van,6.6,6.5,6.7,6.5,5.4,6.4
Minivan,5.8,5.8,5.9,6.3,5.3,6.3
Automobile,8.8,4.2,6.2,7.6,8,8.6
School bus,13.7,13.8,13.8,15,14.5,15.8
Over-the-road bus,8.9,10,7.7,8,7,9.3
Sport utility vehicle,6.5,6.1,5.8,6.4,5.4,6.4
Total,6.6,6.5,6.7,6.9,5.9 ,6.8
