Vehicle Mode,FTA Region 1,FTA Region 2,FTA Region 3,FTA Region 4,FTA Region 5,FTA Region 6,FTA Region 7,FTA Region 8,FTA Region 9,FTA Region 10
Fixed-route,0.77,0.21,0.48,0.96,0.29,0.46,0.44,1.06,0.35,0.4
Demand-response,0.05,0.14,0.12,0.09,0.17,0.11,0.15,0.2,0.22,0.13
Total,0.26,0.2,0.26,0.15,0.21,0.12,0.18,0.62,0.31,0.29
